0, 0
1, 0
2, 2
2, 0
3, 0
4, 8
4, 0
5, 16
5, 0
6, 2
6, 0
7, 2
7, 0
8, 0
9, 0
10, 10
10, 0
11, 0
12, 0
13, 3
13, 0
14, 0
15, 6
15, 0
16, 0
17, 0
18, 0
19, 0
20, 1
20, 0
21, 0
22, 0
23, 0
24, 0
25, 0
26, 1
26, 0
27, 3
27, 0
28, 0
29, 0
30, 0
31, 0
32, 0
33, 2
33, 0
34, 34
34, 0
35, 2
35, 0
36, 0
37, 0
38, 0
39, 1
39, 0
40, 0
41, 25
41, 0
42, 0
43, 0
44, 5
44, 0
45, 20
45, 0
46, 0
47, 0
48, 0
49, 0
50, 31
50, 0
51, 1
51, 0
52, 0
53, 0
54, 0
55, 29
55, 0
56, 0
57, 5
57, 0
58, 10
58, 0
59, 0
60, 0
61, 36
61, 0
62, 1
62, 0
63, 1
63, 0
64, 51
64, 0
65, 0
66, 14
66, 0
67, 1
67, 0
68, 19
68, 0
69, 0
70, 2
70, 0
71, 0
72, 1
72, 0
73, 54
73, 0
74, 0
75, 3
75, 0
76, 6
76, 0
77, 1
77, 0
78, 0
79, 15
79, 0
80, 25
80, 0
81, 3
81, 0
82, 0
83, 3
83, 0
84, 0
85, 20
85, 0
86, 1
86, 0
87, 1
87, 0
88, 0
89, 0
90, 4
90, 0
91, 3
91, 0
92, 0
93, 120
93, 0
94, 0
95, 14
95, 0
96, 0
97, 42
97, 0
98, 1
98, 0
99, 0
100, 0
101, 46
101, 0
102, 0
103, 2
103, 0
104, 0
105, 0
106, 16
106, 0
107, 0
108, 0
109, 0
110, 2
110, 0
111, 0
112, 2
112, 0
113, 9
113, 0
114, 0
115, 31
115, 0
116, 84
116, 0
117, 2
117, 0
118, 12
118, 0
119, 30
119, 0
120, 2
120, 0
121, 1
121, 0
122, 0
123, 55
123, 0
124, 0
125, 0
126, 4
126, 0
127, 5
127, 0
128, 0
129, 50
129, 0
130, 2
130, 0
131, 0
132, 0
133, 65
133, 0
134, 0
135, 1
135, 0
136, 3
136, 0
137, 4
137, 0
138, 4
138, 0
139, 0
140, 29
140, 0
141, 6
141, 0
142, 24
142, 0
143, 15
143, 0
144, 44
144, 0
145, 0
146, 0
147, 1
147, 0
148, 31
148, 0
149, 3
149, 0
150, 0
151, 3
151, 0
152, 4
152, 0
153, 23
153, 0
154, 0
155, 6
155, 0
156, 0
157, 24
157, 0
158, 0
159, 0
160, 2
160, 0
161, 40
161, 0
162, 1
162, 0
163, 1
163, 0
164, 64
164, 0
165, 0
166, 1
166, 0
167, 0
168, 5
168, 0
169, 0
170, 33
170, 0
171, 2
171, 0
172, 79
172, 0
173, 0
174, 0
175, 1
175, 0
176, 0
177, 1
177, 0
178, 0
179, 12
179, 0
180, 0
181, 5
181, 0
182, 3
182, 0
183, 0
184, 67
184, 0
185, 3
185, 0
186, 5
186, 0
187, 0
188, 0
189, 0
190, 79
190, 0
191, 3
191, 0
192, 0
193, 0
194, 7
194, 0
195, 0
196, 110
196, 0
197, 1
197, 0
198, 10
198, 0
199, 0
200, 0
201, 8
201, 0
202, 16
202, 0
203, 17
203, 0
204, 0
205, 0
206, 0
207, 0
208, 0
209, 4
209, 0
210, 22
210, 0
211, 12
211, 0
212, 12
212, 0
213, 62
213, 0
214, 4
214, 0
215, 6
215, 0
216, 33
216, 0
217, 0
218, 2
218, 0
219, 0
220, 1
220, 0
221, 12
221, 0
222, 0
223, 9
223, 0
224, 60
224, 0
225, 0
226, 3
226, 0
227, 25
227, 0
228, 0
229, 0
230, 3
230, 0
231, 1
231, 0
232, 0
233, 2
233, 0
234, 0
235, 20
235, 0
236, 0
237, 40
237, 0
238, 57
238, 0
239, 0
240, 3
240, 0
241, 0
242, 41
242, 0
243, 18
243, 0
244, 3
244, 0
245, 5
245, 0
246, 10
246, 0
247, 7
247, 0
248, 0
249, 10
249, 0
250, 0
251, 0
252, 1
252, 0
253, 0
254, 26
254, 0
255, 0
256, 2
256, 0
257, 10
257, 0
258, 30
258, 0
259, 9
259, 0
260, 5
260, 0
261, 66
261, 0
262, 0
263, 88
263, 0
264, 10
264, 0
265, 6
265, 0
266, 0
267, 6
267, 0
268, 48
268, 0
269, 0
270, 1
270, 0
271, 0
