1; 2 
2; 4 
3; 8 
4; 16 
5; 32 
6; 64 
7; 120 
8; 209 
9; 353 
10; 564 
11; 745 
12; 875 
13; 943 
14; 978 
15; 988 
16; 995 
17; 999 
18; 1000 
