0 1
1 2
2 4
3 7
4 12
5 22
6 36
7 61
8 100
9 154
10 237
11 337
12 447
13 551
14 644
15 726
16 789
17 845
18 875
19 901
20 920
21 930
22 938
23 942
24 947
25 947
26 947
27 947
28 947
29 947
30 947
31 947
32 947
33 947
34 947
35 947
36 947
37 947
38 947
39 947
40 947
41 947
42 947
43 947
44 947
45 947
46 947
47 947
48 947
49 947
50 947
51 947
52 947
53 947
54 947
55 947
56 947
57 947
58 947
59 947
60 947
61 947
62 947
63 947
64 947
65 947
66 947
67 947
68 947
69 947
70 947
71 947
72 947
73 947
74 947
75 947
76 947
77 947
78 947
79 947
80 947
81 947
82 947
83 947
84 947
85 947
86 947
87 947
88 947
89 947
90 947
91 947
92 947
93 947
94 947
95 947
96 947
97 947
98 947
99 947
100 947
